feature,importance
Longitude,0.179883659467
trap_encode,0.169720374588
Latitude,0.169378848522
CULEX PIPIENS/RESTUANS,0.0551801141523
CULEX PIPIENS,0.0508181114494
ResultDir,0.0406554094388
Month,0.0375807925304
Day,0.0353587754529
CULEX RESTUANS,0.0326083143829
DewPoint,0.031490895733
ResultSpeed,0.025534678047
AvgSpeed,0.0239119773559
SeaLevel,0.0231703249192
Tavg,0.0228423389702
Cool,0.0225578190054
StnPressure,0.0218726698734
Depart,0.0198276757405
WetBulb,0.0176880993325
PrecipTotal,0.0156705106306
CULEX TERRITANS,0.0017212800871
Heat,0.00131959689269
CULEX SALINARIUS,0.000757396111265
CULEX ERRATICUS,0.000450337317959
CULEX TARSALIS,0.0
